"Table P1:  Police recorded crime by offence group and police force area, English regions and Wales, number of offences, 12 months to June 2013",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total recorded crime - including fraud,Total recorded crime - excluding fraud,,Victim-based crime,,,,,,,,,,,,,,,,,Other crimes against society,,,,,
Hampshire,"106,100","103,977",,"21,314",11,"10,879","10,424","1,740",694,"49,495","10,811","3,753","7,058","8,133","1,769","3,794","11,017","13,971","18,004",,"6,582",524,"4,417","1,207",,"2,123"
Kent,"100,924","99,429",,"19,692",10,"10,393","9,289","1,588",951,"51,287","13,977","6,557","7,420","10,535",848,"1,651","10,441","13,835","17,803",,"4,167",428,"2,299","1,214",,"1,495"
Surrey,"52,334","50,779",,"8,644",4,"2,977","5,663",587,239,"25,520","7,481","3,397","4,084","5,130",395,"1,344","4,033","7,137","9,109",,"3,706",270,"1,773",931,,"1,555"
Sussex,"87,978","86,118",,"14,870",12,"6,985","7,873","1,593",648,"46,180","9,607","3,846","5,761","8,231","3,199","2,669","8,351","14,123","14,015",,"4,467",519,"2,628","1,198",,"1,860"
Thames Valley,"133,260","129,025",,"19,574",20,"8,425","11,129","2,159","1,184","73,547","15,909","6,805","9,104","14,856","3,014","5,651","13,905","20,212","17,941",,"6,953",731,"5,290","1,646",,"4,235"
South East Region,"480,596","469,328",,"84,094",57,"39,659","44,378","7,667","3,716","246,029","57,785","24,358","33,427","46,885","9,225","15,109","47,747","69,278","76,872",,"25,875","2,472","16,407","6,196",,"11,268"
,,,,,,,,,,,,,,,,,,,,,,,,,,
Avon and Somerset,"97,049","95,528",,"15,895",13,"8,124","7,758","1,534",767,"48,160","11,231","4,889","6,342","9,239","1,626","2,812","10,636","12,616","15,725",,"6,726",499,"4,964","1,258",,"1,521"
Devon and Cornwall,"84,866","83,544",,"19,670",10,"10,680","8,980","2,009",378,"35,192","8,030","3,334","4,696","6,139","1,128","1,286","7,311","11,298","15,025",,"4,509",416,"5,390",955,,"1,322"
Dorset,"39,402","38,963",,"6,050",5,"3,574","2,471",586,198,"22,027","5,093","1,833","3,260","4,960",633,"1,735","3,722","5,884","7,111",,"1,497",165,979,350,,439
Gloucestershire,"30,250","29,595",,"4,360",1,"2,599","1,760",522,231,"16,754","4,701","2,192","2,509","3,061",366,"1,102","3,261","4,263","4,854",,"1,646",134,713,381,,655
Wiltshire,"33,363","32,587",,"6,144",9,"3,421","2,714",644,129,"16,776","4,331","1,265","3,066","3,348",402,755,"3,208","4,732","5,994",,"1,624",136,892,248,,776
South West Region,"284,930","280,217",,"52,119",38,"28,398","23,683","5,295","1,703","138,909","33,386","13,513","19,873","26,747","4,155","7,690","28,138","38,793","48,709",,"16,002","1,350","12,938","3,192",,"4,713"
,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLAND,"3,344,716","3,267,603",,"560,890",498,"289,344","271,048","52,235","61,126","1,739,191","434,619","216,111","218,508","364,843","98,134","88,504","289,493","463,598","489,316",,"190,249","18,602","116,175","39,819",,"77,113"
,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyfed-Powys,"18,903","18,532",,"3,401",5,"2,068","1,328",376,24,"6,376","1,349",444,905,996,60,174,"1,573","2,224","3,326",,"3,464",146,"1,219",200,,371
Gwent,"34,595","34,328",,"6,301",5,"3,480","2,816",504,178,"16,711","4,646","1,775","2,871","3,654",155,440,"3,310","4,506","6,374",,"2,319",176,"1,347",418,,267
North Wales,"36,584","36,232",,"7,924",11,"4,076","3,837",858,135,"16,033","4,635","1,614","3,021","2,496",197,597,"3,566","4,542","7,229",,"1,717",170,"1,727",439,,352
South Wales,"83,532","82,089",,"13,606",10,"8,563","5,033","1,198",396,"42,059","9,130","3,956","5,174","10,208","2,056","1,751","7,857","11,057","14,271",,"5,263",463,"3,889",944,,"1,443"
WALES,"173,614","171,181",,"31,232",31,"18,187","13,014","2,936",733,"81,179","19,760","7,789","11,971","17,354","2,468","2,962","16,306","22,329","31,200",,"12,763",955,"8,182","2,001",,"2,433"
,,,,,,,,,,,,,,,,,,,,,,,,,,
British Transport Police,"51,970","51,570",,"6,151",3,"2,093","4,055",641,505,"28,102",529,2,527,"1,526","9,116","5,093","1,853","9,985","4,761",,"3,614",363,"6,521",912,,400
,,,,,,,,,,,,,,,,,,,,,,,,,,
Action Fraud1,"150,389",..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,,"150,389"
,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLAND AND WALES,"3,720,689","3,490,354",,"598,273",532,"309,624","288,117","55,812","62,364","1,848,472","454,908","223,902","231,006","383,723","109,718","96,559","307,652","495,912","525,277",,"206,626","19,920","130,878","42,732",,"230,335"
"Source: Police recorded crime, Home Office",,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Action Fraud have taken over the recording of fraud offences on behalf of individual police forces. This process began in April 2011 and was rolled out to all police forces by March 2013. Due to this change, caution should be applied when comparing data over this transitional period and with earlier years. See the User Guide for more details including information on the transfer date to Action Fraud for each force.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
